0,イエス・キリスト誕生,jesus_christ.png
239,邪馬台国の卑弥呼が中国(魏)に使いを送る,
710,平城京(奈良)へ都を移す,
712,古事記ができる。日本最古の歴史書です。,
759,万葉集ができる。日本最古の歌集です。,
794,平安京(京都)へ都を移す,onono_komachi.png
1185,源頼朝が鎌倉幕府を成立,mitamotono_yoritomo.png
1159,平治の乱。平清盛が源義朝に勝ちました。,
1167,平清盛が武士で最初の太政大臣になる,
1582,本能寺の変!織田信長が明智光秀にやられる!,
1868,戊辰戦争が起こる,
1931,満州事変が起こる,
1939,第二次世界大戦が始まる,
1940,日独伊三国軍事同盟が結ばれる,
1941,太平洋戦争が起こる(~1945年),
1989,平成が始まる。,ベルリンの壁崩壊。,
1990,ドイツ統一(東ドイツが西ドイツに編入される),
1991,バブル崩壊。湾岸戦争勃発。,
1992,ソニーがMD発売。,
1993,第二世代携帯電話(2G)登場。,
1995,阪神淡路大震災。Windows95が登場。
1996,携帯電話がガラパゴス化,
1997,消費税5%,
1998,長野オリンピック開催。iMac発売。,
1999,運転中の携帯電話が使用禁止に! 国歌が君が代に!,
2000,第26回主要国首脳会議(沖縄サミット)開催。
2001,第三世代携帯電話(3G)登場。アメリカ同時多発テロ事件(9.11)。,
2020,東京オリンピック!,
